PO,Part number,ITEM Name,PU,Chassis-Cab,ROW,GCC,Australia,Canada / Mexico,US,EU,Quantity per           vehicle,Procured,Print in house,Engraving or riveting,Self destructive,Removable,Prio,Catalogue number,"PTO ""engineering vehicle""","SOP ""saleable vehicle""",Release started (only ECO),MODULE,Drawings chek,variant formula,Label,notes,image,markets,complexity,market_count,complexity_count
x,EI-0000015535,PASSENGER AIRBAG LABLE ON DASHBOARD US,True,False,False,False,False,True,True,False,1,True,False,False,False,True,1.0,1.6,False,True,True,INTERIOR,okay,ZDU OR ZDV,,,EI-0000015535.png,"['PU', 'Canada / Mexico', 'US']","['Procured', 'Removable']",3,2
x,PL-0000000001,TIRE PRESSURE LABLE TANK/FLAP/DR INR,False,False,True,False,True,False,False,True,1,False,True,False,True,False,1.0,2.2,True,True,True,HANG ON PARTS,okay,AAB OR !(ZDC OR ZDD OR ZDE OR ZDZ OR ZEB OR ZEA) AND AAJ,,,PL-0000000001.png,"['ROW', 'Australia', 'EU']","['Print in house', 'Self destructive']",3,2
x,PL-0000000002,TIRE PRESSURE LABLE TANK/FLAP/DR GCC,False,False,False,True,False,False,False,False,1,False,True,False,True,False,1.0,2.2,True,True,True,HANG ON PARTS,okay,(ZDD OR ZDE OR ZDZ OR ZEA OR ZEB OR ZDC) AND AAJ,,,PL-0000000002.png,['GCC'],"['Print in house', 'Self destructive']",1,2
x,PL-0000000034,TIRE PRESSURE LABLE TANK/FLAP/DR INR PU,True,False,True,False,True,False,False,True,1,False,True,False,True,False,1.0,2.2,True,True,True,HANG ON PARTS,okay,AAN OR !(ZDC OR ZDD OR ZDE OR ZDZ OR ZEB OR ZEA) AND AAP,,,PL-0000000034.png,"['PU', 'ROW', 'Australia', 'EU']","['Print in house', 'Self destructive']",4,2
x,PL-0000000035,TIRE PRESSURE LABLE TANK/FLAP/DR GCC PU,True,False,False,True,False,False,False,False,1,False,True,False,True,False,1.0,2.2,True,True,True,HANG ON PARTS,okay,(ZDC OR ZDD OR ZDE OR ZDZ OR ZEB OR ZEA) AND AAP,,,PL-0000000035.png,"['PU', 'GCC']","['Print in house', 'Self destructive']",2,2
,EI-0000034249,FUEL ECONOMY LABLE GCC LWB MY25,False,False,False,True,False,False,False,False,1,True,False,False,False,True,1.0,2.3,False,True,True,HANG ON PARTS,okay,(ZDC OR ZDD OR ZDE OR ZDZ OR ZEB OR ZEA) AND AAP,,,EI-0000034249.png,['GCC'],"['Procured', 'Removable']",1,2
,EI-0000034250,FUEL ECONOMY LABLE GCC PU MY25,True,False,False,True,False,False,False,False,1,True,False,False,False,True,1.0,2.3,False,True,True,HANG ON PARTS,okay,AAP AND OME AND (ZDC OR ZDD OR ZDE OR ZDZ OR ZEB OR ZEA),,,EI-0000034250.png,"['PU', 'GCC']","['Procured', 'Removable']",2,2
,EI-0000034251,FUEL ECONOMY LABLE SASO LWB MY25,False,False,False,True,False,False,False,False,1,True,False,False,False,True,1.0,2.3,False,True,True,HANG ON PARTS,okay,x,,,EI-0000034251.png,['GCC'],"['Procured', 'Removable']",1,2
,EI-0000034252,FUEL ECONOMY LABLE SASO PU MY25,True,False,False,True,False,False,False,False,1,True,False,False,False,True,1.0,2.3,False,True,True,HANG ON PARTS,okay,x,,,EI-0000034252.png,"['PU', 'GCC']","['Procured', 'Removable']",2,2
x,"PL-0000000003 
PL-0000000028
PL-0000000029 
PL-0000000030",MANUFACTURERS PLATE LABLE EU,True,False,False,False,False,False,False,True,1,False,True,False,True,False,1.0,3.1,True,True,True,BODY IN WHITE,okay,"AAB AND !ZAA AND GAA AND GEB
AAB AND !ZAA AND GAA AND GEC
AAB AND !ZAA AND GAB AND GEB
AAB AND !ZAA AND GAB AND GEC",,,PL-0000000003_PL-0000000028_PL-0000000029_PL-0000000030.png,"['PU', 'EU']","['Print in house', 'Self destructive']",2,2
